{'embedding_size': 256, 'hidden_size': 256, 'learning_rate': 0.001, 'epoch_num': 500, 'try_one_batch': False}
{'val_loss': 3.271854661901792, 'train_loss': 2.409778646565974, 'bleu_score': 0.020767940299700395}
{'val_loss': 1.7299170682827631, 'train_loss': 0.3834337620840718, 'bleu_score': 0.1541694217581002}
{'val_loss': 1.714610112955173, 'train_loss': 0.3806063013151288, 'bleu_score': 0.15920077271814537}
{'val_loss': 1.722491970906655, 'train_loss': 0.37800123064468305, 'bleu_score': 0.19075067419995867}
{'val_loss': 1.7263650114337603, 'train_loss': 0.37486500494802993, 'bleu_score': 0.1483856504777184}
{'val_loss': 1.735819036513567, 'train_loss': 0.37246744842268525, 'bleu_score': 0.15169425420776853}
{'val_loss': 1.7191159129142761, 'train_loss': 0.36996024804345023, 'bleu_score': 0.15011398071177307}
{'val_loss': 1.7386213051776092, 'train_loss': 0.3675698054799189, 'bleu_score': 0.19178240569796096}
{'val_loss': 1.7362481117248536, 'train_loss': 0.36478526233695446, 'bleu_score': 0.15986364262229252}
{'val_loss': 1.7436287149786949, 'train_loss': 0.36243812815131, 'bleu_score': 0.13718993574965352}
{'val_loss': 1.7255975246429442, 'train_loss': 0.3601323623054971, 'bleu_score': 0.20031453007325908}
{'val_loss': 1.7321847394108771, 'train_loss': 0.3586540671531111, 'bleu_score': 0.1661529780688462}
{'val_loss': 1.7387150722245375, 'train_loss': 0.3559493616533776, 'bleu_score': 0.15819667267652032}
{'val_loss': 1.7469759675363699, 'train_loss': 0.35367430373250197, 'bleu_score': 0.16746525820482744}
{'val_loss': 1.735651855667432, 'train_loss': 0.3517300541047007, 'bleu_score': 0.14923635732791468}
{'val_loss': 1.7394922184447448, 'train_loss': 0.35019455508639413, 'bleu_score': 0.1756496996042844}
{'val_loss': 1.742258477707704, 'train_loss': 0.34758565679658204, 'bleu_score': 0.18203522543189848}
{'val_loss': 1.7363853961229325, 'train_loss': 0.34651249562545366, 'bleu_score': 0.16703378135177296}
{'val_loss': 1.7421668748060861, 'train_loss': 0.34461783928175765, 'bleu_score': 0.18815106551464322}
{'val_loss': 1.750389783581098, 'train_loss': 0.3429597423179075, 'bleu_score': 0.16010543610468175}
{'val_loss': 1.742379230260849, 'train_loss': 0.3409054482433324, 'bleu_score': 0.1567315504621541}
{'val_loss': 1.7513992900649706, 'train_loss': 0.33905469736394783, 'bleu_score': 0.17799645402729183}
{'val_loss': 1.7445022851228713, 'train_loss': 0.3375097906294589, 'bleu_score': 0.1915918483477738}
{'val_loss': 1.743711853772402, 'train_loss': 0.33594020128560564, 'bleu_score': 0.21392084439477493}
{'val_loss': 1.7528216036657491, 'train_loss': 0.33486743791339296, 'bleu_score': 0.1493104426977054}
{'val_loss': 1.7743787658711274, 'train_loss': 0.33306834334507585, 'bleu_score': 0.17556885325644161}
{'val_loss': 1.7565414227545262, 'train_loss': 0.33147326298058033, 'bleu_score': 0.17209737053679325}
{'val_loss': 1.7620211683213711, 'train_loss': 0.33023121251414217, 'bleu_score': 0.1817591692871239}
{'val_loss': 1.7578202816347281, 'train_loss': 0.3290207964523385, 'bleu_score': 0.21847891463171065}
{'val_loss': 1.7604741183420023, 'train_loss': 0.3273118037264794, 'bleu_score': 0.16259916227346755}
{'val_loss': 1.757084600130717, 'train_loss': 0.32659609415568414, 'bleu_score': 0.1974255240942826}
{'val_loss': 1.7582507153352103, 'train_loss': 0.3250073790239791, 'bleu_score': 0.19809263956987352}
{'val_loss': 1.767946218450864, 'train_loss': 0.3230115878162906, 'bleu_score': 0.13735978298724433}
{'val_loss': 1.7642281152307988, 'train_loss': 0.32278345893137156, 'bleu_score': 0.2358188012068424}
{'val_loss': 1.7734838833411535, 'train_loss': 0.32113821217014143, 'bleu_score': 0.15182169565534237}
{'val_loss': 1.7816858378549416, 'train_loss': 0.3198633806857591, 'bleu_score': 0.15266738069772234}
{'val_loss': 1.7652326891819636, 'train_loss': 0.3195526349358261, 'bleu_score': 0.16615140242347357}
{'val_loss': 1.7779498000939686, 'train_loss': 0.31804055467558406, 'bleu_score': 0.2089371336432162}
{'val_loss': 1.7723509237170219, 'train_loss': 0.3167799696093425, 'bleu_score': 0.2389092270164873}
{'val_loss': 1.7820440746843815, 'train_loss': 0.3157492765535911, 'bleu_score': 0.1894509622028676}
{'val_loss': 1.7743288370470205, 'train_loss': 0.3145918013450379, 'bleu_score': 0.17116371845628747}
{'val_loss': 1.7790922003487746, 'train_loss': 0.31364181950533143, 'bleu_score': 0.1882008985115337}
{'val_loss': 1.7784901179373265, 'train_loss': 0.3122011748763422, 'bleu_score': 0.16613606403098477}
{'val_loss': 1.788959056387345, 'train_loss': 0.3120512479062503, 'bleu_score': 0.16795932528569352}
{'val_loss': 1.7804048207898935, 'train_loss': 0.31088628332751495, 'bleu_score': 0.11402203748301375}
{'val_loss': 1.7912134806315103, 'train_loss': 0.3098837603504459, 'bleu_score': 0.23746564960201683}
{'val_loss': 1.7857260165115199, 'train_loss': 0.3089065203287949, 'bleu_score': 0.24638868527730085}
{'val_loss': 1.7951447509229184, 'train_loss': 0.3077963521471247, 'bleu_score': 0.1695919937633952}
{'val_loss': 1.7897132376829783, 'train_loss': 0.30675960956917453, 'bleu_score': 0.24182404646019917}
{'val_loss': 1.7860726113120715, 'train_loss': 0.30619177881938714, 'bleu_score': 0.17910109840816862}
{'val_loss': 1.7939251360793909, 'train_loss': 0.3057450747815892, 'bleu_score': 0.16960100621484975}
{'val_loss': 1.7896765117843947, 'train_loss': 0.3049275862829139, 'bleu_score': 0.24133956375736526}
{'val_loss': 1.7889096391697725, 'train_loss': 0.30426625250838696, 'bleu_score': 0.18271033608178866}
{'val_loss': 1.7959835298359395, 'train_loss': 0.30304613715658585, 'bleu_score': 0.17290548343666595}
{'val_loss': 1.7945905367533366, 'train_loss': 0.30264509844904147, 'bleu_score': 0.13706820352065135}
{'val_loss': 1.7904431223869324, 'train_loss': 0.3015100702177733, 'bleu_score': 0.16215411797646617}
{'val_loss': 1.7885621468226114, 'train_loss': 0.30075629355075456, 'bleu_score': 0.1886496104374878}
{'val_loss': 1.8015659833947817, 'train_loss': 0.30022223190559694, 'bleu_score': 0.1451239901163588}
{'val_loss': 1.7950712119539578, 'train_loss': 0.29892871920019387, 'bleu_score': 0.19665317921403644}
{'val_loss': 1.7985563598573209, 'train_loss': 0.2994151593651623, 'bleu_score': 0.19158271957610779}
{'val_loss': 1.802319771796465, 'train_loss': 0.29834627414432663, 'bleu_score': 0.20658674712611474}
{'val_loss': 1.8098352514207363, 'train_loss': 0.2972767541107411, 'bleu_score': 0.17318771590049106}
{'val_loss': 1.800160321344932, 'train_loss': 0.2966042802436277, 'bleu_score': 0.18896313285243482}
{'val_loss': 1.8097563291589418, 'train_loss': 0.29670623186199613, 'bleu_score': 0.14566938834478943}
{'val_loss': 1.8014895794292292, 'train_loss': 0.29573360530193893, 'bleu_score': 0.16995438904773896}
{'val_loss': 1.7962771651645502, 'train_loss': 0.2952641180328404, 'bleu_score': 0.17250710406224729}
{'val_loss': 1.8109095784525076, 'train_loss': 0.29491235613046834, 'bleu_score': 0.1712276771268934}
{'val_loss': 1.8154198649028936, 'train_loss': 0.2937217488186434, 'bleu_score': 0.19315040142765258}
{'val_loss': 1.8049418749908606, 'train_loss': 0.2929138165044909, 'bleu_score': 0.18467135421132408}
{'val_loss': 1.807029731820027, 'train_loss': 0.2927004105023419, 'bleu_score': 0.1956086175323833}
{'val_loss': 1.8121387047072253, 'train_loss': 0.29236575999918085, 'bleu_score': 0.17212114434989315}
{'val_loss': 1.8201244299610455, 'train_loss': 0.2916271211579442, 'bleu_score': 0.18833133394790275}
{'val_loss': 1.8088193925718465, 'train_loss': 0.2909794526717936, 'bleu_score': 0.2104620091915873}
{'val_loss': 1.8063746693233649, 'train_loss': 0.2906046301747362, 'bleu_score': 0.17150937284706488}
{'val_loss': 1.8125663369894027, 'train_loss': 0.2902903486120825, 'bleu_score': 0.15579661390029415}
{'val_loss': 1.8142590952416262, 'train_loss': 0.28939454446857177, 'bleu_score': 0.17941323880831997}
{'val_loss': 1.810118834177653, 'train_loss': 0.28970201618503777, 'bleu_score': 0.20030752097851717}
{'val_loss': 1.823063425719738, 'train_loss': 0.28855967815810196, 'bleu_score': 0.1668124146384205}
{'val_loss': 1.807245387385289, 'train_loss': 0.2884681790135801, 'bleu_score': 0.20702681514529164}
{'val_loss': 1.8134936061998208, 'train_loss': 0.2878583015097926, 'bleu_score': 0.1692540912709869}
{'val_loss': 1.8165993377566338, 'train_loss': 0.28750448358089975, 'bleu_score': 0.1508726488763553}
{'val_loss': 1.815342543274164, 'train_loss': 0.28745700494231036, 'bleu_score': 0.2124171474807004}
{'val_loss': 1.8197189298768839, 'train_loss': 0.2867128446465358, 'bleu_score': 0.18603883232536494}
{'val_loss': 1.8199151309827963, 'train_loss': 0.28616720804323753, 'bleu_score': 0.17949001549509994}
{'val_loss': 1.827240836371978, 'train_loss': 0.28649692113200825, 'bleu_score': 0.18152392734638795}
{'val_loss': 1.8178110703825952, 'train_loss': 0.28584875147013616, 'bleu_score': 0.2054431567998464}
{'val_loss': 1.8211808105309804, 'train_loss': 0.285272789405038, 'bleu_score': 0.20438060648639378}
{'val_loss': 1.8275021890799203, 'train_loss': 0.28500353697842606, 'bleu_score': 0.19454231423272084}
{'val_loss': 1.8295486633976301, 'train_loss': 0.28439102860478066, 'bleu_score': 0.18333332683238768}
{'val_loss': 1.8291461003323397, 'train_loss': 0.2839361812686548, 'bleu_score': 0.2207405344086798}
{'val_loss': 1.8196093047658601, 'train_loss': 0.28365363099146634, 'bleu_score': 0.1923949953701125}
{'val_loss': 1.827899635086457, 'train_loss': 0.2836447736015543, 'bleu_score': 0.23478684409377565}
{'val_loss': 1.8319487035274507, 'train_loss': 0.2831101963451753, 'bleu_score': 0.14753745314027722}
{'val_loss': 1.8222147986292838, 'train_loss': 0.28322695180928953, 'bleu_score': 0.1871645861224207}
{'val_loss': 1.8281239559253057, 'train_loss': 0.28235237567375104, 'bleu_score': 0.17429729704800104}
{'val_loss': 1.8269983996947607, 'train_loss': 0.2820304390663902, 'bleu_score': 0.18893604027473698}
{'val_loss': 1.8327393752833208, 'train_loss': 0.28195448238402604, 'bleu_score': 0.2380976617042248}
{'val_loss': 1.8308268991609415, 'train_loss': 0.2818311929004267, 'bleu_score': 0.17342681098462506}
{'val_loss': 1.8304629062612852, 'train_loss': 0.2809934575886776, 'bleu_score': 0.24864521428921307}
{'val_loss': 1.83498800372084, 'train_loss': 0.28125295309194676, 'bleu_score': 0.19142706128774703}
{'val_loss': 1.8273169649144014, 'train_loss': 0.28033142214020096, 'bleu_score': 0.24131052096906913}
{'val_loss': 1.8348776834706466, 'train_loss': 0.28047508794503906, 'bleu_score': 0.15825311057946745}
{'val_loss': 1.8348144335051377, 'train_loss': 0.28001997190682837, 'bleu_score': 0.2035014286169617}
{'val_loss': 1.8296979779998461, 'train_loss': 0.2803024132736027, 'bleu_score': 0.19128615835177526}
{'val_loss': 1.8303455347816149, 'train_loss': 0.2797914943269764, 'bleu_score': 0.14296392118150053}
{'val_loss': 1.8353443443775177, 'train_loss': 0.279851196341527, 'bleu_score': 0.2056328372012335}
{'val_loss': 1.8346309574941795, 'train_loss': 0.2787201776246851, 'bleu_score': 0.17744066383132903}
{'val_loss': 1.8313053759435813, 'train_loss': 0.2786083094387626, 'bleu_score': 0.18973775581814314}
{'val_loss': 1.8391944013535977, 'train_loss': 0.27848622093442826, 'bleu_score': 0.2399586521687831}
{'val_loss': 1.8359738101561864, 'train_loss': 0.2785929138228918, 'bleu_score': 0.14525851039391166}
{'val_loss': 1.8326956699291865, 'train_loss': 0.278645419383732, 'bleu_score': 0.171277439095377}
{'val_loss': 1.838342576722304, 'train_loss': 0.27821935595323644, 'bleu_score': 0.1670367846251513}
{'val_loss': 1.8404073764880498, 'train_loss': 0.2773995206846545, 'bleu_score': 0.20661692564651396}
{'val_loss': 1.8362138330936433, 'train_loss': 0.27729891491277764, 'bleu_score': 0.2284258035670993}
{'val_loss': 1.8431378804147243, 'train_loss': 0.27716838507913055, 'bleu_score': 0.15527977957730602}
