{'embedding_size': 256, 'hidden_size': 256, 'learning_rate': 0.001, 'epoch_num': 500, 'try_one_batch': False}
{'val_loss': 5.629261151949565, 'train_loss': 5.467225237687429, 'bleu_score': 0.009875995657310567}
{'val_loss': 2.40684632062912, 'train_loss': 1.1688168664773306, 'bleu_score': 0.1792450231434503}
{'val_loss': 2.399413526058197, 'train_loss': 1.1528990770379701, 'bleu_score': 0.17836715474227838}
{'val_loss': 2.396982471148173, 'train_loss': 1.1387594908475875, 'bleu_score': 0.18312676245206885}
{'val_loss': 2.383014245827993, 'train_loss': 1.1244976744055748, 'bleu_score': 0.18803631110918312}
{'val_loss': 2.396202862262726, 'train_loss': 1.1084046527743339, 'bleu_score': 0.1819732511217202}
{'val_loss': 2.3707228620847065, 'train_loss': 1.0969817005097866, 'bleu_score': 0.1878040582834905}
{'val_loss': 2.3710574467976886, 'train_loss': 1.0842453067501385, 'bleu_score': 0.20136560441652882}
{'val_loss': 2.3366668860117596, 'train_loss': 1.0727025446792444, 'bleu_score': 0.18679878902489577}
{'val_loss': 2.365764792760213, 'train_loss': 1.0604687777658304, 'bleu_score': 0.21968268821982478}
{'val_loss': 2.371393593152364, 'train_loss': 1.0500153988599776, 'bleu_score': 0.19267768380074052}
{'val_loss': 2.3555080691973367, 'train_loss': 1.0386306417485078, 'bleu_score': 0.214210139421381}
{'val_loss': 2.341045153141022, 'train_loss': 1.030713366965453, 'bleu_score': 0.19750663615103659}
{'val_loss': 2.3467257738113405, 'train_loss': 1.0199850030243396, 'bleu_score': 0.19300994091300427}
{'val_loss': 2.3357653776804606, 'train_loss': 1.0106252416968347, 'bleu_score': 0.1872474423544017}
{'val_loss': 2.3393412947654726, 'train_loss': 1.0027977868914604, 'bleu_score': 0.1900146970417069}
{'val_loss': 2.332836671670278, 'train_loss': 0.9933906565109889, 'bleu_score': 0.19597355647917114}
{'val_loss': 2.3316143194834393, 'train_loss': 0.9859390959143639, 'bleu_score': 0.19940376835687576}
{'val_loss': 2.3342560132344565, 'train_loss': 0.9768945790827275, 'bleu_score': 0.18890390277685903}
{'val_loss': 2.3205254435539246, 'train_loss': 0.9703080226977666, 'bleu_score': 0.19741051400058862}
{'val_loss': 2.316530978679657, 'train_loss': 0.9623361326754093, 'bleu_score': 0.1984637981048338}
{'val_loss': 2.3276063521703083, 'train_loss': 0.9554554283618927, 'bleu_score': 0.19086456067026977}
{'val_loss': 2.318866467475891, 'train_loss': 0.9477356371780237, 'bleu_score': 0.20425093014961698}
{'val_loss': 2.326219046115875, 'train_loss': 0.941181255877018, 'bleu_score': 0.20636082928598687}
{'val_loss': 2.3106222709019977, 'train_loss': 0.9347751560310523, 'bleu_score': 0.2180023603126966}
{'val_loss': 2.316696552435557, 'train_loss': 0.9284944747885068, 'bleu_score': 0.19704271198657863}
{'val_loss': 2.3067452470461527, 'train_loss': 0.9229627740879853, 'bleu_score': 0.1992742684867055}
{'val_loss': 2.308845325311025, 'train_loss': 0.9170089550316334, 'bleu_score': 0.21829852033902136}
{'val_loss': 2.3094867428143817, 'train_loss': 0.9097515322268009, 'bleu_score': 0.19575404240126099}
{'val_loss': 2.3054383277893065, 'train_loss': 0.9053481598695119, 'bleu_score': 0.2190648524332267}
{'val_loss': 2.3235210100809733, 'train_loss': 0.8991603789230188, 'bleu_score': 0.19835461503734564}
{'val_loss': 2.2970566868782045, 'train_loss': 0.8951454949875672, 'bleu_score': 0.21101195787445587}
{'val_loss': 2.322509757677714, 'train_loss': 0.8892571004728477, 'bleu_score': 0.22580292834946097}
{'val_loss': 2.3071197032928468, 'train_loss': 0.8851549272735914, 'bleu_score': 0.20256835543856588}
{'val_loss': 2.295479182402293, 'train_loss': 0.8801595787207286, 'bleu_score': 0.20630521476883745}
{'val_loss': 2.308391817410787, 'train_loss': 0.87402595008413, 'bleu_score': 0.2166444946431182}
{'val_loss': 2.2982351581255593, 'train_loss': 0.8706722155213356, 'bleu_score': 0.1914469421919237}
{'val_loss': 2.3011789321899414, 'train_loss': 0.8647683334847291, 'bleu_score': 0.20527554976521}
{'val_loss': 2.307510618368785, 'train_loss': 0.8618216055134932, 'bleu_score': 0.20865499512403202}
{'val_loss': 2.3023120284080507, 'train_loss': 0.8573948326210181, 'bleu_score': 0.2011595514649071}
{'val_loss': 2.305435248215993, 'train_loss': 0.8538519191245239, 'bleu_score': 0.20048619189579925}
{'val_loss': 2.3091699401537578, 'train_loss': 0.8492414139211177, 'bleu_score': 0.2027794825580031}
{'val_loss': 2.3058772722880048, 'train_loss': 0.846497093886137, 'bleu_score': 0.21840180836413123}
{'val_loss': 2.3085661133130393, 'train_loss': 0.8422064046065013, 'bleu_score': 0.2122061086698894}
{'val_loss': 2.293630830446879, 'train_loss': 0.8378225033481915, 'bleu_score': 0.22130586061866264}
{'val_loss': 2.301037085056305, 'train_loss': 0.8341456592082978, 'bleu_score': 0.20483637947912878}
{'val_loss': 2.3016529003779094, 'train_loss': 0.8320779701073965, 'bleu_score': 0.18912632569089932}
{'val_loss': 2.3121732831001283, 'train_loss': 0.8290513932704926, 'bleu_score': 0.19982225387116043}
{'val_loss': 2.307080312569936, 'train_loss': 0.8242359295487404, 'bleu_score': 0.21197547379721385}
{'val_loss': 2.3033933003743488, 'train_loss': 0.8201771472891172, 'bleu_score': 0.21080627239681204}
{'val_loss': 2.297331734498342, 'train_loss': 0.8181037038564682, 'bleu_score': 0.21489965750480658}
{'val_loss': 2.2885870734850564, 'train_loss': 0.8154470962782701, 'bleu_score': 0.2071905271027462}
{'val_loss': 2.296370979150136, 'train_loss': 0.8117472713192304, 'bleu_score': 0.20239069785678493}
{'val_loss': 2.2919127543767295, 'train_loss': 0.8095247353116671, 'bleu_score': 0.21636326735561828}
